h2_ratio,Pmeoh,Tmeoh,reactor_mode,recycle_ratio,Vmeoh
3.457265625,9362.304688,252.0703125,0.232421875,0.989306641,17.46941041
3.457265625,9362.304688,252.0703125,0.232421875,0.989306641,13.26948718
3.457265625,9362.304688,252.0703125,0.232421875,0.989306641,13.26948718
3.457265625,9362.304688,252.0703125,0.232421875,0.989306641,13.26948718
3.457265625,9362.304688,252.0703125,0.232421875,0.989306641,13.26948718
3.457265625,9362.304688,252.0703125,0.232421875,0.989306641,13.26948718
3.457265625,9362.304688,252.0703125,0.232421875,0.989306641,13.26948718
3.457265625,9362.304688,252.0703125,0.232421875,0.989306641,13.26948718
3.457265625,9362.304688,252.0703125,0.232421875,0.989306641,13.26948718
3.457265625,9362.304688,252.0703125,0.232421875,0.989306641,13.26948718
